Pokemon,Pokedex,Type.1,Type.2,Avg.CP.per.Power.Up,Max.CP,Rarity,Capture,Flee,Stamina,Attack,Defense,Family,Stage,Total.Stages,Evolved.From,Candy.it.Took,Evolves.to,Candy.to.Evolve
Bulbasaur,#001,Grass,Poison,13.8,1071,1.18,16,10,90,126,126,Bulbasaur,1,3,,,Ivysaur,25
Ivysaur,#002,Grass,Poison,21.6,1632,0.2,8,7,120,156,158,Bulbasaur,2,3,Bulbasaur,25,Venusaur,100
Venusaur,#003,Grass,Poison,34.8,2580,0.01,4,5,160,198,200,Bulbasaur,3,3,Ivysaur,125,,
Charmander,#004,Fire,,12.2,955,0.23,16,10,78,128,108,Charmander,1,3,,,Charmeleon,25
Charmeleon,#005,Fire,,20.5,1557,0.2,8,7,116,160,140,Charmander,2,3,Charmander,25,Charizard,100
Charizard,#006,Fire,Flying,35.1,2602,0.01,4,5,156,212,182,Charmander,3,3,Charmeleon,125,,
Squirtle,#007,Water,,13,1008,0.56,16,10,88,112,142,Squirtle,1,3,,,Wartortle,25
Wartortle,#008,Water,,20.9,1582,0.2,8,7,118,144,176,Squirtle,2,3,Squirtle,25,Blastoise,100
Blastoise,#009,Water,,34.3,2542,0.01,4,5,158,186,222,Squirtle,3,3,Wartotle,125,,
Caterpie,#010,Bug,,5.3,443,3.78,40,20,90,62,66,Caterpie,1,3,,,Metapod,12
Metapod,#011,Bug,,5.8,477,0.2,20,9,100,56,86,Caterpie,2,3,Caterpie,12,Butterfree,50
Butterfree,#012,Bug,Flying,19.1,1454,0.01,10,6,120,144,144,Caterpie,3,3,Metapod,62,,
Weedle,#013,Bug,Poison,5.4,449,6.61,40,20,80,68,64,Weedle,1,3,,,Kakuna,12
Kakuna,#014,Bug,Poison,5.9,485,0.56,20,9,90,62,82,Weedle,2,3,Weedle,12,Beedrill,50
Beedrill,#015,Bug,Poison,18.9,1439,0.2,10,6,130,144,130,Weedle,3,3,Kakuna,62,,
